FisheryID,CA_Number,CA_Short_Name,CWT_Flag,Cat_Flag,Type_Calc
1,102,No Cal Trm,0,0,0
2,103,Cn Cal Trm,0,0,0
3,111,Ft Brg Spt,0,0,0
4,115,Ft Brg Trl,0,0,0
5,131,Ca KMZ Spt,0,0,0
6,135,Ca KMZ Trl,0,0,0
7,151,So Cal Spt,0,0,0
8,155,So Cal Trl,0,0,0
NA,171,Klmath Net,0,0,0
NA,175,Klmath Spt,0,0,0
9,201,So Ore Trm,0,0,0
10,202,Or Prv Trm,0,0,0
11,203,SMi Or Trm,0,0,0
12,204,NMi Or Trm,0,0,0
13,205,No Ore Trm,0,0,0
14,206,Or Cst Trm,0,0,0
15,211,Brkngs Spt,0,0,0
16,215,Brkngs Trl,0,0,0
17,221,Newprt Spt,0,0,0
18,225,Newprt Trl,0,0,0
19,241,Coos B Spt,0,0,0
NA,243,Coos E Spt,0,0,0
20,245,Coos B Trl,0,0,0
NA,263,Sius E Spt,0,0,0
21,271,Tillmk Spt,0,0,0
NA,273,Tlmk E Spt,0,0,0
22,275,Tillmk Trl,0,0,0
NA,281,Umpqua Spt,0,0,0
NA,291,Yaquna Spt,0,0,0
23,311,Buoy10 Spt,3,0,2
24,321,L ColR Spt,0,0,3
25,325,L ColR Net,0,0,3
26,335,Yngs B Net,0,0,3
NA,341,CR Trb Net,0,0,0
27,351,LCROrT Spt,0,0,3
28,353,Clackm Spt,0,0,0
29,354,SandyR Spt,0,0,3
30,361,LCRWaT Spt,0,0,3
NA,362,LewisR Spt,0,0,0
NA,363,Washgl Spt,0,0,0
NA,364,Cowltz Spt,0,0,0
NA,365,Elochm Spt,0,0,0
NA,366,Kalama Spt,0,0,0
NA,367,Klickt Spt,0,0,0
NA,368,WSalmn Spt,0,0,0
NA,369,LWSalm Spt,0,0,0
NA,370,GraysR Spt,0,0,0
31,381,UpColR Spt,0,0,3
NA,384,Umatil Spt,0,0,0
32,391,UpColR Net,0,0,3
NA,395,BonnDam Ct,0,0,3
33,404,A1-Ast Spt,0,0,0
34,405,A1-Ast Trl,0,0,0
NA,409,Ar 1-2 Trl,0,0,0
35,411,Area 2 Trl,0,0,0
37,412,Area 2 Spt,0,0,0
38,415,Area 3 Trl,0,0,0
40,416,Area 3 Spt,0,0,0
NA,421,Area 4 Trl,0,0,0
41,422,Area 4 Spt,0,0,0
42,429,4/4B P Trl,0,0,0
NA,431,A4B PF Trl,0,0,0
44,432,A 5-6C Trl,0,0,0
NA,433,4B-6C  Trl,0,0,0
45,441,Willpa Spt,3,0,2
46,443,Wlp Tb Spt,0,0,3
47,446,WlpaBT Net,3,0,2
48,451,GryHbr Spt,1,1,2
49,453,SGryHb Spt,0,1,3
50,455,GryHbr Net,1,1,2
51,456,Hump R Spt,0,0,3
52,457,LwCheh Net,1,1,3
53,458,Hump R C&S,0,0,3
NA,459,GHb FW Net,0,0,3
54,460,Chehal Spt,0,0,3
55,461,Hump R Net,1,1,3
56,462,UpCheh Net,0,0,3
57,463,Chehal C&S,0,0,3
58,464,Wynoch Spt,0,1,3
59,465,Hoquam Spt,0,1,3
60,466,Wishkh Spt,0,1,3
61,467,Satsop Spt,0,0,3
62,471,Quin R Spt,0,0,3
63,475,Quin R Net,1,0,2
64,477,Quin R C&S,0,0,3
65,478,Queets Spt,0,0,3
66,480,Clrwtr Spt,0,0,3
67,481,Salm R Spt,0,1,3
68,482,Queets Net,1,1,2
69,483,Queets C&S,0,1,3
70,484,Quilly Spt,0,0,3
71,487,Quilly Net,0,0,2
72,489,Quilly C&S,0,0,3
73,490,Hoh R  Spt,0,0,3
74,493,Hoh R  Net,1,0,2
75,495,Hoh R  C&S,0,1,3
76,496,Mak FW Spt,0,0,3
77,497,Mak FW Net,0,0,3
78,498,Makah  C&S,0,0,3
79,501,A 4-4A Net,0,0,0
80,503,4B-6C  Net,0,0,0
NA,504,A 4-6C Net,0,0,0
82,505,6D-DgR Net,2,1,3
84,506,Elwha  Net,2,1,3
85,507,WJDF T Net,0,1,3
NA,508,6/6A/7 Net,0,0,0
86,509,EJDF T Net,0,1,3
87,510,A 6-7A Net,0,0,0
NA,512,Ar 7A  Net,0,0,0
89,523,EJDF FWSpt,0,1,3
90,524,WJDF FWSpt,0,1,3
91,525,Area 5 Spt,0,0,0
92,526,Area 6 Spt,0,0,0
93,527,Area 7 Spt,0,0,0
94,528,Dung R Spt,2,1,3
95,529,ElwhaR Spt,0,1,3
96,531,7B-7D  Net,1,1,2
NA,535,7B-NkR Net,0,0,2
98,537,Nook R Net,2,1,3
NA,539,Ar 7B  Net,0,0,2
99,551,Nook R Spt,2,1,3
100,552,Samh R Spt,0,1,3
101,561,Area 8 Net,1,1,2
103,563,Skag R Net,2,1,3
NA,565,8-SkgR Net,0,0,2
104,566,SkgR TsNet,2,1,3
NA,568,6B & 9 Net,0,0,0
105,569,SwinCh Net,1,1,1
NA,571,Area 8 Spt,0,0,0
106,572,Ar 8-1 Spt,1,1,5
107,574,Area 9 Spt,0,0,0
108,575,Skag R Spt,2,1,3
109,581,Ar 8A Net,1,1,2
NA,582,8AD-SR Net,0,0,2
111,583,Ar 8D  Net,2,1,1
113,585,Stil R Net,2,1,3
114,586,Snoh R Net,2,1,3
NA,587,N8A-SR Net,0,0,3
115,591,Ar 8-2 Spt,1,1,5
116,593,Stil R Spt,0,1,3
117,595,Snoh R Spt,0,1,3
118,610,Ar 10  Spt,1,1,5
119,611,Ar 10  Net,1,1,2
NA,612,10-11  Net,0,0,2
NA,613,10 Tst Net,0,0,2
121,614,Ar 10A Net,2,1,1
123,615,Ar 10E Net,1,1,1
125,616,10F-G  Net,1,1,3
126,619,Duwm R Net,2,1,3
127,620,Duwm R Spt,0,1,3
128,622,L WaSm Spt,0,1,3
129,632,Ar 11  Spt,1,1,4
NA,633,Ar10/11Spt,0,0,5
130,634,Ar 11  Net,1,1,1
132,635,Ar 11A Net,2,1,1
134,636,Puyl R Net,2,1,3
135,638,Puyl R Spt,2,1,3
136,650,Ar 13  Spt,1,1,4
137,651,Ar 13  Net,1,1,1
139,655,Ar 13C Net,2,1,1
141,656,Ar 13A Net,2,1,1
143,657,Ar 13D Net,2,1,1
145,659,A13FK  Net,1,1,1
NA,660,13D-K  Net,0,0,1
147,661,Nisq R Net,2,1,3
148,663,McAlls Net,2,1,3
149,683,13D-K TSpt,0,1,3
150,685,Nisq R Spt,0,1,3
151,687,Desc R Spt,0,1,3
NA,701,Ar 12  Net,0,0,2
152,702,Ar 12  Spt,1,1,1
NA,703,Ar 12B Net,0,0,2
NA,704,12/B/C Net,0,0,2
153,705,12-12B Net,1,1,2
155,706,Ar9-9A Net,1,1,1
NA,707,Ar 12C Net,0,0,1
157,709,Ar 12A Net,2,1,1
159,710,Ar12CD Net,2,1,1
NA,711,Ar 12D Net,0,0,1
NA,721,Ar 9A  Net,0,0,1
NA,722,9 OnRs Net,0,0,1
161,731,Skok R Net,2,1,3
162,733,Quilcn Net,2,1,3
163,753,1212B TSpt,0,1,3
164,754,12A Tb Spt,0,1,3
